2022-10-04T16:53:08.296+0700 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - [] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-10-04T16:53:08.303+0700 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-10-04T16:53:08.563+0700 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - [] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-10-04T16:53:08.698+0700 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity - [] - You are asking Spring Security to ignore Ant [pattern='/public/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-04T16:53:08.698+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will not secure Ant [pattern='/public/**']
2022-10-04T16:53:08.699+0700 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity - [] - You are asking Spring Security to ignore Ant [pattern='/*/v3/api-docs/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-04T16:53:08.699+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will not secure Ant [pattern='/*/v3/api-docs/**']
2022-10-04T16:53:08.699+0700 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity - [] - You are asking Spring Security to ignore Ant [pattern='/*/swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-04T16:53:08.700+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will not secure Ant [pattern='/*/swagger-ui.html']
2022-10-04T16:53:08.700+0700 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity - [] - You are asking Spring Security to ignore Ant [pattern='/*/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-04T16:53:08.700+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will not secure Ant [pattern='/*/swagger-ui/**']
2022-10-04T16:53:08.700+0700 [main] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity - [] - You are asking Spring Security to ignore Ant [pattern='/**/api-docs/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-04T16:53:08.700+0700 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - [] - Will not secure Ant [pattern='/**/api-docs/**']
